,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
177,20025207,,jt,"tesla, inc. - common stock (tsla) [st]",p,05/01/2024,,"$1,001 - $15,000",,st,tsla
178,20025207,,jt,"texas roadhouse, inc. - common stock (txrh) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,05/06/2024,,"$1,001 - $15,000",,st,txrh
179,20025207,,jt,"the baldwin insurance group, inc. - class a common stock (bwin) [st]",p,05/29/2024,,"$1,001 - $15,000",,st,bwin
180,20025207,,jt,"uber technologies, inc. common stock (uber) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,05/07/2024,,"$1,001 - $15,000",,st,uber
181,20025207,,jt,umb financial corporation - common stock (umbf) [st],p,05/22/2024,,"$1,001 - $15,000",,st,umbf
182,20024461,,jt,"advanced micro devices, inc. (amd) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/24/2024,,"$1,001 - $15,000",,st,amd
183,20024461,,jt,"agios pharmaceuticals, inc. - common stock (agio) [st]",p,01/24/2024,,"$1,001 - $15,000",,st,agio
184,20024461,,jt,"air products and chemicals, inc. common stock (apd) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/18/2024,,"$1,001 - $15,000",,st,apd
185,20024461,,jt,"allegro microsystems, inc. - common stock (algm) [st]",p,01/11/2024,,"$1,001 - $15,000",,st,algm
186,20024461,,jt,"alnylam pharmaceuticals, inc. - common stock (alny) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/11/2024,,"$1,001 - $15,000",,st,alny
187,20024461,,jt,"alnylam pharmaceuticals, inc. - common stock (alny) [st]",s,01/29/2024,,"$1,001 - $15,000",,st,alny
188,20024461,,jt,amphenol corporation common stock (aph) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,01/25/2024,,"$1,001 - $15,000",,st,aph
189,20024461,,jt,apple inc. - common stock (aapl) [st],s,01/18/2024,,"$1,001 - $15,000",,st,aapl
190,20024461,,jt,asbury automotive group inc common stock (abg) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,01/24/2024,,"$1,001 - $15,000",,st,abg
191,20024461,,jt,charles schwab corporation (schw) [st],p,01/12/2024,,"$1,001 - $15,000",,st,schw
192,20024461,,jt,"chart industries, inc. (gtls) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/11/2024,,"$1,001 - $15,000",,st,gtls
193,20024461,,jt,chord energy corporation - common stock (chrd) [st],p,01/24/2024,,"$1,001 - $15,000",,st,chrd
194,20024461,,jt,credicorp ltd. common stock (bap) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,01/11/2024,,"$1,001 - $15,000",,st,bap
195,20024461,,jt,een energy hldgs unsp/adr (xngsy) [st],p,01/11/2024,,"$1,001 - $15,000",,st,xngsy
196,20024461,,jt,"grand canyon education, inc. - common stock (lope) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,01/09/2024,,"$1,001 - $15,000",,st,lope
197,20024461,,jt,haier smart home u/adr (hshcy) [st],p,01/11/2024,,"$1,001 - $15,000",,st,hshcy
198,20024461,,jt,helen of troy limited - common stock (hele) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,01/11/2024,,"$1,001 - $15,000",,st,hele
199,20024461,,jt,"intuitive surgical, inc. - common stock (isrg) [st]",p,01/29/2024,,"$1,001 - $15,000",,st,isrg
200,20024461,,jt,lam research corporation - common stock (lrcx) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,01/25/2024,,"$1,001 - $15,000",,st,lrcx
201,20024461,,jt,"lithia motors, inc. common stock (lad) [st]",s,01/24/2024,,"$1,001 - $15,000",,st,lad
202,20024461,,jt,"lowe's companies, inc. common stock (low) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,01/24/2024,,"$1,001 - $15,000",,st,low
203,20024461,,jt,"medpace holdings, inc. - common stock (medp) [st]",s,01/24/2024,,"$1,001 - $15,000",,st,medp
